STATION_CD,STATION_NM,LINE_NUM,요일,상하행,05시~06시,06시~07시,07시~08시,08시~09시,09시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~25시
1407,온양온천,01호선,평일,상행,40,60,40,40,40,40,40,60,40,60,40,40,20,60,40,40,40,60,40,0
1407,온양온천,01호선,평일,하행,20,60,40,40,40,40,60,40,60,40,20,40,40,40,60,60,40,40,40,20
1407,온양온천,01호선,토요일,상행,40,20,40,40,20,20,40,40,40,60,40,20,40,40,60,20,40,60,40,0
1407,온양온천,01호선,토요일,하행,0,40,40,20,40,20,40,40,40,40,40,40,40,40,40,40,60,40,40,0
1407,온양온천,01호선,휴일/일요일,상행,40,20,40,40,20,20,40,40,40,60,40,20,40,40,60,20,40,60,40,0
1407,온양온천,01호선,휴일/일요일,하행,0,40,40,20,40,20,40,40,40,40,40,40,40,40,40,40,60,40,40,0
1408,신창,01호선,평일,하행,20,60,40,40,40,40,60,40,60,40,20,40,40,40,60,40,60,40,20,40
1408,신창,01호선,토요일,하행,0,40,40,20,40,20,40,40,40,40,40,40,40,40,40,40,60,40,40,0
1408,신창,01호선,휴일/일요일,하행,0,40,40,20,40,20,40,40,40,40,40,40,40,40,40,40,60,40,40,0
1005,대방,01호선,평일,상행,140,420,440,480,400,300,340,260,280,280,280,400,460,480,440,400,360,300,180,0
1005,대방,01호선,평일,하행,100,380,460,500,400,320,300,340,300,260,260,300,400,440,420,380,400,300,220,60
1005,대방,01호선,토요일,상행,120,280,340,360,300,340,340,320,340,300,360,340,320,380,340,380,300,320,180,0
1005,대방,01호선,토요일,하행,100,280,340,340,320,280,360,360,320,340,300,340,360,360,340,280,320,320,240,40
1005,대방,01호선,휴일/일요일,상행,120,280,340,360,300,340,340,320,340,300,360,340,320,380,340,380,300,320,180,0
1005,대방,01호선,휴일/일요일,하행,100,280,340,340,320,280,360,360,320,340,300,340,360,360,340,280,320,320,240,40
1703,금천구청,01호선,평일,상행,40,160,200,200,140,140,120,100,140,120,140,140,140,140,180,160,140,160,120,40
1703,금천구청,01호선,평일,하행,120,160,200,160,120,160,120,160,120,120,140,100,140,180,180,140,140,160,60,0
1703,금천구청,01호선,토요일,상행,40,120,180,160,140,160,120,100,140,140,120,120,120,120,140,160,140,140,120,40
1703,금천구청,01호선,토요일,하행,120,160,160,140,140,120,100,180,100,120,120,140,140,140,120,120,140,180,80,0
1703,금천구청,01호선,휴일/일요일,상행,40,120,180,160,140,160,120,100,140,140,120,120,120,120,140,160,140,140,120,40
1703,금천구청,01호선,휴일/일요일,하행,120,160,160,140,140,120,100,180,100,120,120,140,140,140,120,120,140,180,80,0
