,날짜,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm),기상조건
0, 2022-07-01,26.6,21.9,30.9,0.0,맑음
1, 2022-07-02,28.8,24.0,33.8,0.0,폭염/한파
2, 2022-07-03,29.3,24.4,34.2,0.0,폭염/한파
3, 2022-07-04,29.3,26.4,32.6,0.0,맑음
4, 2022-07-05,29.2,26.7,33.1,0.0,폭염/한파
5, 2022-07-06,29.5,26.2,33.3,16.1,폭염/한파
6, 2022-07-07,28.2,26.4,31.0,0.0,맑음
7, 2022-07-08,25.8,24.0,27.9,1.7,약한눈비
8, 2022-07-09,26.9,24.0,30.9,0.1,약한눈비
9, 2022-07-10,29.2,24.6,35.1,0.0,폭염/한파
10, 2022-07-11,27.0,24.7,30.6,9.0,약한눈비
11, 2022-07-12,26.8,23.2,29.4,0.0,맑음
12, 2022-07-13,25.0,24.0,27.1,114.5,강한눈비
13, 2022-07-14,25.7,23.3,29.9,0.9,약한눈비
14, 2022-07-15,26.0,23.0,30.3,0.0,맑음
15, 2022-07-16,24.8,23.2,28.2,34.0,약한눈비
16, 2022-07-17,25.5,22.5,29.7,0.0,맑음
17, 2022-07-18,26.8,23.1,30.1,0.0,맑음
18, 2022-07-19,27.4,24.3,31.1,0.0,맑음
19, 2022-07-20,27.1,24.3,30.4,1.1,약한눈비
20, 2022-07-21,23.2,20.8,25.2,10.4,약한눈비
21, 2022-07-22,25.1,22.9,27.5,5.2,약한눈비
22, 2022-07-23,24.8,22.3,28.0,9.9,약한눈비
23, 2022-07-24,25.0,22.0,28.4,1.2,약한눈비
24, 2022-07-25,27.5,23.6,32.0,0.0,맑음
25, 2022-07-26,28.9,24.4,33.1,0.0,폭염/한파
26, 2022-07-27,29.3,26.4,33.4,0.0,폭염/한파
27, 2022-07-28,29.7,25.1,34.4,0.0,폭염/한파
28, 2022-07-29,30.7,27.3,34.3,0.0,폭염/한파
29, 2022-07-30,30.9,27.3,36.1,1.0,폭염/한파
30, 2022-07-31,27.2,25.4,29.0,47.2,약한눈비
31, 2022-08-01,28.6,25.4,32.4,30.0,약한눈비
32, 2022-08-02,26.8,25.5,28.5,33.5,약한눈비
33, 2022-08-03,27.1,25.2,30.0,51.1,약한눈비
34, 2022-08-04,28.9,26.0,32.9,0.0,맑음
35, 2022-08-05,29.4,27.0,32.7,0.0,맑음
36, 2022-08-06,28.7,27.4,30.3,13.6,약한눈비
37, 2022-08-07,28.9,27.2,31.7,0.9,약한눈비
38, 2022-08-08,26.8,0.0,28.4,129.6,강한눈비
39, 2022-08-09,25.1,22.0,26.5,123.1,강한눈비
40, 2022-08-10,24.7,21.4,28.8,7.6,약한눈비
41, 2022-08-11,25.0,23.4,27.5,38.8,약한눈비
42, 2022-08-12,27.0,23.0,32.4,0.0,맑음
43, 2022-08-13,25.8,24.7,27.5,4.0,약한눈비
44, 2022-08-14,27.6,24.5,31.5,3.0,약한눈비
45, 2022-08-15,28.1,26.6,29.8,0.9,약한눈비
46, 2022-08-16,26.7,24.1,30.0,0.0,맑음
47, 2022-08-17,26.0,22.8,30.5,0.0,맑음
48, 2022-08-18,25.6,22.4,29.8,0.0,맑음
49, 2022-08-19,26.0,23.3,27.5,66.1,약한눈비
50, 2022-08-20,28.2,25.7,32.0,0.0,맑음
51, 2022-08-21,28.1,24.7,32.0,0.0,맑음
52, 2022-08-22,26.8,22.9,30.2,3.2,약한눈비
53, 2022-08-23,25.4,22.4,30.2,2.2,약한눈비
54, 2022-08-24,24.8,22.4,27.9,0.0,맑음
55, 2022-08-25,22.2,21.1,24.0,1.6,약한눈비
56, 2022-08-26,23.8,19.9,28.4,0.0,맑음
57, 2022-08-27,21.5,17.6,25.5,17.6,약한눈비
58, 2022-08-28,22.6,16.1,28.4,0.0,맑음
59, 2022-08-29,21.0,19.5,22.5,2.2,약한눈비
60, 2022-08-30,19.1,17.9,20.3,35.8,약한눈비
61, 2022-08-31,21.7,19.6,24.9,0.0,맑음
62, 2022-09-01,24.0,18.3,30.4,0.0,맑음
63, 2022-09-02,24.7,20.3,29.8,0.0,맑음
64, 2022-09-03,24.2,20.5,29.2,0.0,맑음
65, 2022-09-04,22.3,19.8,24.0,33.8,약한눈비
66, 2022-09-05,19.2,17.7,22.7,120.0,강한눈비
67, 2022-09-06,21.0,17.0,26.3,25.3,약한눈비
68, 2022-09-07,22.8,17.9,28.1,0.0,맑음
69, 2022-09-08,23.2,16.7,29.5,0.0,맑음
