,연,월,일,요일,기상조건,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
0,2022,7,1,금,맑음,26.6,21.9,30.9,0.0
1,2022,7,2,토,폭염/한파,28.8,24.0,33.8,0.0
2,2022,7,3,일,폭염/한파,29.3,24.4,34.2,0.0
3,2022,7,4,월,맑음,29.3,26.4,32.6,0.0
4,2022,7,5,화,폭염/한파,29.2,26.7,33.1,0.0
5,2022,7,6,수,폭염/한파,29.5,26.2,33.3,16.1
6,2022,7,7,목,맑음,28.2,26.4,31.0,0.0
7,2022,7,8,금,약한눈비,25.8,24.0,27.9,1.7
8,2022,7,9,토,약한눈비,26.9,24.0,30.9,0.1
9,2022,7,10,일,폭염/한파,29.2,24.6,35.1,0.0
10,2022,7,11,월,약한눈비,27.0,24.7,30.6,9.0
11,2022,7,12,화,맑음,26.8,23.2,29.4,0.0
12,2022,7,13,수,강한눈비,25.0,24.0,27.1,114.5
13,2022,7,14,목,약한눈비,25.7,23.3,29.9,0.9
14,2022,7,15,금,맑음,26.0,23.0,30.3,0.0
15,2022,7,16,토,약한눈비,24.8,23.2,28.2,34.0
16,2022,7,17,일,맑음,25.5,22.5,29.7,0.0
17,2022,7,18,월,맑음,26.8,23.1,30.1,0.0
18,2022,7,19,화,맑음,27.4,24.3,31.1,0.0
19,2022,7,20,수,약한눈비,27.1,24.3,30.4,1.1
20,2022,7,21,목,약한눈비,23.2,20.8,25.2,10.4
21,2022,7,22,금,약한눈비,25.1,22.9,27.5,5.2
22,2022,7,23,토,약한눈비,24.8,22.3,28.0,9.9
23,2022,7,24,일,약한눈비,25.0,22.0,28.4,1.2
24,2022,7,25,월,맑음,27.5,23.6,32.0,0.0
25,2022,7,26,화,폭염/한파,28.9,24.4,33.1,0.0
26,2022,7,27,수,폭염/한파,29.3,26.4,33.4,0.0
27,2022,7,28,목,폭염/한파,29.7,25.1,34.4,0.0
28,2022,7,29,금,폭염/한파,30.7,27.3,34.3,0.0
29,2022,7,30,토,폭염/한파,30.9,27.3,36.1,1.0
30,2022,7,31,일,약한눈비,27.2,25.4,29.0,47.2
31,2022,8,1,월,약한눈비,28.6,25.4,32.4,30.0
32,2022,8,2,화,약한눈비,26.8,25.5,28.5,33.5
33,2022,8,3,수,약한눈비,27.1,25.2,30.0,51.1
34,2022,8,4,목,맑음,28.9,26.0,32.9,0.0
35,2022,8,5,금,맑음,29.4,27.0,32.7,0.0
36,2022,8,6,토,약한눈비,28.7,27.4,30.3,13.6
37,2022,8,7,일,약한눈비,28.9,27.2,31.7,0.9
38,2022,8,8,월,강한눈비,26.8,0.0,28.4,129.6
39,2022,8,9,화,강한눈비,25.1,22.0,26.5,123.1
40,2022,8,10,수,약한눈비,24.7,21.4,28.8,7.6
41,2022,8,11,목,약한눈비,25.0,23.4,27.5,38.8
42,2022,8,12,금,맑음,27.0,23.0,32.4,0.0
43,2022,8,13,토,약한눈비,25.8,24.7,27.5,4.0
44,2022,8,14,일,약한눈비,27.6,24.5,31.5,3.0
45,2022,8,15,월,약한눈비,28.1,26.6,29.8,0.9
46,2022,8,16,화,맑음,26.7,24.1,30.0,0.0
47,2022,8,17,수,맑음,26.0,22.8,30.5,0.0
48,2022,8,18,목,맑음,25.6,22.4,29.8,0.0
49,2022,8,19,금,약한눈비,26.0,23.3,27.5,66.1
50,2022,8,20,토,맑음,28.2,25.7,32.0,0.0
51,2022,8,21,일,맑음,28.1,24.7,32.0,0.0
52,2022,8,22,월,약한눈비,26.8,22.9,30.2,3.2
53,2022,8,23,화,약한눈비,25.4,22.4,30.2,2.2
54,2022,8,24,수,맑음,24.8,22.4,27.9,0.0
55,2022,8,25,목,약한눈비,22.2,21.1,24.0,1.6
56,2022,8,26,금,맑음,23.8,19.9,28.4,0.0
