날짜,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
 2022-07-01,26.6,21.9,30.9,0
 2022-07-02,28.8,24,33.8,0
 2022-07-03,29.3,24.4,34.2,0
 2022-07-04,29.3,26.4,32.6,0
 2022-07-05,29.2,26.7,33.1,0
 2022-07-06,29.5,26.2,33.3,16.1
 2022-07-07,28.2,26.4,31,0
 2022-07-08,25.8,24,27.9,1.7
 2022-07-09,26.9,24,30.9,0.1
 2022-07-10,29.2,24.6,35.1,0
 2022-07-11,27,24.7,30.6,9
 2022-07-12,26.8,23.2,29.4,0
 2022-07-13,25,24,27.1,114.5
 2022-07-14,25.7,23.3,29.9,0.9
 2022-07-15,26,23,30.3,0
 2022-07-16,24.8,23.2,28.2,34
 2022-07-17,25.5,22.5,29.7,0
 2022-07-18,26.8,23.1,30.1,0
 2022-07-19,27.4,24.3,31.1,0
 2022-07-20,27.1,24.3,30.4,1.1
 2022-07-21,23.2,20.8,25.2,10.4
 2022-07-22,25.1,22.9,27.5,5.2
 2022-07-23,24.8,22.3,28,9.9
 2022-07-24,25,22,28.4,1.2
 2022-07-25,27.5,23.6,32,0
 2022-07-26,28.9,24.4,33.1,0
 2022-07-27,29.3,26.4,33.4,0
 2022-07-28,29.7,25.1,34.4,0
 2022-07-29,30.7,27.3,34.3,0
 2022-07-30,30.9,27.3,36.1,1
 2022-07-31,27.2,25.4,29,47.2
 2022-08-01,28.6,25.4,32.4,30
 2022-08-02,26.8,25.5,28.5,33.5
 2022-08-03,27.1,25.2,30,51.1
 2022-08-04,28.9,26,32.9,0
 2022-08-05,29.4,27,32.7,0
 2022-08-06,28.7,27.4,30.3,13.6
 2022-08-07,28.9,27.2,31.7,0.9
 2022-08-08,26.8,0,28.4,129.6
 2022-08-09,25.1,22,26.5,123.1
 2022-08-10,24.7,21.4,28.8,7.6
 2022-08-11,25,23.4,27.5,38.8
 2022-08-12,27,23,32.4,0
 2022-08-13,25.8,24.7,27.5,4
 2022-08-14,27.6,24.5,31.5,3
 2022-08-15,28.1,26.6,29.8,0.9
 2022-08-16,26.7,24.1,30,0
 2022-08-17,26,22.8,30.5,0
 2022-08-18,25.6,22.4,29.8,0
 2022-08-19,26,23.3,27.5,66.1
 2022-08-20,28.2,25.7,32,0
 2022-08-21,28.1,24.7,32,0
 2022-08-22,26.8,22.9,30.2,3.2
 2022-08-23,25.4,22.4,30.2,2.2
 2022-08-24,24.8,22.4,27.9,0
 2022-08-25,22.2,21.1,24,1.6
 2022-08-26,23.8,19.9,28.4,0
 2022-08-27,21.5,17.6,25.5,17.6
 2022-08-28,22.6,16.1,28.4,0
 2022-08-29,21,19.5,22.5,2.2
 2022-08-30,19.1,17.9,20.3,35.8
 2022-08-31,21.7,19.6,24.9,0
 2022-09-01,24,18.3,30.4,0
