연,월,일,요일,기상조건,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm)
2023,1,1,일,맑음,-0.2,-4.3,3.8,0.0
2023,1,2,월,맑음,-4.5,-7.4,-0.4,0.0
2023,1,3,화,맑음,-5.0,-9.0,0.6,0.0
2023,1,4,수,맑음,-1.8,-5.7,3.3,0.0
2023,1,5,목,맑음,-1.6,-5.6,3.6,0.0
2023,1,6,금,약한눈비,0.6,-4.7,5.7,3.9
2023,1,7,토,약한눈비,1.5,-1.4,3.8,0.1
2023,1,8,일,맑음,1.3,-3.7,6.3,0.0
2023,1,9,월,맑음,3.1,-1.3,7.0,0.0
2023,1,10,화,맑음,1.6,-3.9,9.1,0.0
2023,1,11,수,맑음,2.6,-2.0,9.2,0.0
2023,1,12,목,맑음,5.9,-0.6,12.5,0.0
2023,1,13,금,약한눈비,8.3,5.1,10.1,37.3
2023,1,14,토,약한눈비,6.6,3.8,8.4,1.6
2023,1,15,일,약한눈비,-0.2,-3.5,3.8,3.2
2023,1,16,월,맑음,-4.6,-6.8,-1.2,0.0
2023,1,17,화,맑음,-3.7,-7.0,-0.4,0.0
2023,1,18,수,맑음,-1.9,-4.6,2.2,0.0
2023,1,19,목,약한눈비,-0.4,-6.0,4.3,1.0
2023,1,20,금,맑음,-3.3,-7.7,2.0,0.0
2023,1,21,토,맑음,-4.5,-10.5,1.5,0.0
2023,1,22,일,맑음,-0.6,-2.8,2.6,0.0
2023,1,23,월,맑음,-0.8,-6.9,4.6,0.0
2023,1,24,화,폭염/한파,-14.7,-17.0,-6.9,0.0
2023,1,25,수,폭염/한파,-11.3,-17.3,-5.4,0.0
2023,1,26,목,약한눈비,-6.0,-9.0,-3.5,0.8
2023,1,27,금,맑음,-7.3,-9.6,-3.8,0.0
2023,1,28,토,맑음,-6.0,-11.2,-0.6,0.0
2023,1,29,일,맑음,-1.8,-8.0,4.9,0.0
2023,1,30,월,맑음,-0.9,-4.4,4.2,0.0
2023,1,31,화,맑음,2.4,-3.5,7.8,0.0
2023,2,1,수,맑음,0.9,-3.0,6.0,0.0
2023,2,2,목,맑음,-2.4,-5.1,1.4,0.0
2023,2,3,금,맑음,-1.6,-3.9,3.4,0.0
2023,2,4,토,맑음,-0.2,-5.2,6.0,0.0
2023,2,5,일,맑음,1.7,-3.3,7.1,0.0
2023,2,6,월,맑음,3.0,-1.7,8.8,0.0
2023,2,7,화,맑음,3.5,-0.6,9.5,0.0
2023,2,8,수,맑음,2.1,-1.3,7.8,0.0
2023,2,9,목,맑음,4.0,-2.8,9.9,0.0
2023,2,10,금,약한눈비,3.8,1.1,6.2,0.6
2023,2,11,토,맑음,2.8,-1.2,8.5,0.0
2023,2,12,일,맑음,3.7,-0.9,7.6,0.0
2023,2,13,월,맑음,5.9,2.7,8.4,0.0
2023,2,14,화,맑음,1.7,-2.5,6.6,0.0
2023,2,15,수,맑음,3.2,-1.2,8.9,0.0
2023,2,16,목,맑음,2.3,-0.7,4.5,0.0
2023,2,17,금,맑음,3.4,-1.5,9.8,0.0
2023,2,18,토,맑음,5.7,3.0,8.1,0.0
2023,2,19,일,약한눈비,3.5,0.2,6.1,0.4
2023,2,20,월,맑음,-0.5,-3.5,2.4,0.0
2023,2,21,화,맑음,-1.3,-5.3,4.8,0.0
2023,2,22,수,맑음,1.2,-4.5,8.4,0.0
2023,2,23,목,맑음,2.9,-1.8,9.2,0.0
