다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기온, 강수량
,검색구분 : 월
,지점명 : 서울
,기간 : 2021 ~ 2023  01~12

선택 전체 통계
일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 2021-01,-2.4,2.2,-6.8,18.9
 2021-02,2.7,7.9,-2.2,7.1
 2021-03,9.0,14.8,4.3,110.9
 2021-04,14.2,19.5,9.5,124.1
 2021-05,17.1,21.9,12.8,183.1
 2021-06,22.8,27.6,18.9,104.6
 2021-07,28.1,32.2,24.6,168.3
 2021-08,25.9,29.7,22.8,211.2
 2021-09,22.6,26.9,18.8,131.0
 2021-10,15.6,20.5,11.6,57.0
 2021-11,8.2,13.1,4.0,62.4
 2021-12,0.6,5.1,-3.5,7.9
 2022-01,-2.2,2.6,-6.2,5.5
 2022-02,-1.1,3.8,-5.3,4.7
 2022-03,7.7,12.7,3.2,102.6
 2022-04,14.8,20.6,10.0,20.4
 2022-05,19.1,25.0,13.9,7.5
 2022-06,23.3,27.5,19.8,393.8
 2022-07,27.3,31.0,24.2,252.3
 2022-08,25.7,28.9,23.1,564.8
 2022-09,22.4,27.2,18.2,201.5
 2022-10,14.6,19.7,10.3,124.1
 2022-11,10.0,15.4,5.6,84.5
 2022-12,-2.8,1.7,-6.6,13.6
 2023-01,-1.5,3.2,-5.7,47.9
 2023-02,2.3,7.3,-1.9,1.0
 2023-03,9.8,16.2,4.2,10.5
 2023-04,13.8,19.0,8.8,96.9
 2023-05,19.5,25.0,14.6,155.6
 2023-06,23.4,27.9,19.7,195.6
 2023-07,26.7,30.2,23.9,459.9
 2023-08,27.2,30.8,24.3,298.1
 2023-09,,,,0.4
 평균,13.9,18.7,9.8,128.1





