,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
도보,15.1,14.1,28.1,10.6,15.0,22.1,15.6,20.9,19.4,24.8,13.3,15.3,18.6,15.6,18.5,20.5,18.5,16.4,7.3,8.7,12.8,21.2,14.2,14.3,18.2
자전거,3.4,1.8,1.9,1.8,3.3,2.3,1.2,4.2,0.8,3.0,5.1,1.6,1.7,1.8,0.6,1.2,1.7,0.8,0.8,1.7,0.8,5.1,1.0,1.6,2.1
자전거 + 기타교통수단,0.3,0,0,0.3,0,0,0,0,0.2,0,0.1,0.2,0.0,0.2,0,0,0,0,0,0,0.4,0,0.1,0,0.2
오토바이,2.4,0.1,2.2,0.9,2.0,0.9,0.5,0.7,0.3,0.5,2.6,0.3,1.9,0.5,0.1,0.2,0.4,0.5,0.0,0.3,0.2,0.6,0,0.3,0.5
버스,25.2,20.4,22.6,19.7,30.8,16.0,28.4,27.3,29.5,16.1,30.3,31.3,23.9,30.4,19.6,18.8,29.6,34.4,31.8,27.7,34.8,27.9,14.6,22.2,25.0
지하철(철도),21.5,30.3,22.4,15.9,17.5,20.7,9.9,17.7,20.8,20.8,11.4,15.1,19.8,21.0,16.4,15.2,23.4,12.5,21.9,16.0,13.9,15.2,12.5,23.9,17.1
버스 + 지하철,5.5,8.7,9.1,20.7,9.1,11.5,14.5,12.5,8.0,13.9,17.6,18.1,6.3,9.2,16.9,15.4,6.9,17.1,8.7,21.4,15.8,6.7,7.3,15.0,7.7
택시,0,0,0,0.1,0,0.1,0.1,0,0,0.2,0.1,0.1,0,0.1,0,0.2,0,0.1,0.2,0,0,0.3,0.1,0.1,0
승용차,22.8,24.3,12.9,25.3,18.0,22.6,28.0,16.6,20.7,19.9,16.4,17.4,26.5,20.6,27.3,27.3,18.7,17.8,23.0,23.5,19.8,22.4,38.3,22.1,26.2
승용차 + 버스,1.8,0,0.1,0.5,1.1,0.5,0.7,0,0,0.2,0.2,0.2,0.4,0.0,0.3,0.3,0,0.1,1.7,0.2,0.1,0.3,0.1,0.2,0.1
승용차 + 지하철,0.6,0.3,0,4.1,3.1,2.9,1.1,0.0,0.1,0.1,0.5,0.4,0.7,0.2,0.3,0.7,0.6,0.2,4.6,0.4,1.3,0.1,11.7,0.4,2.1
개인형 이동수단,1.3,0,0.1,0.1,0,0.1,0.1,0,0.2,0,2.4,0,0,0.3,0,0,0,0.1,0,0.0,0.0,0.1,0.0,0.0,0.8
기타,0,0,0.5,0,0,0.4,0,0.0,0,0.5,0,0,0.1,0.1,0,0.2,0.1,0.1,0,0,0.1,0,0,0,0
