Year,Month,Day,ADMDONG_NM,ATDRC_NM,PSGR_CNT,Early_Morning,Rush_Hour_M,Day_Time,Rush_Hour_N,Late_Night
2023,8,18,신정2동,양천구,3605.0,250.0,983.0,1287.0,747.0,338.0
2023,8,17,신정2동,양천구,3484.0,253.0,1025.0,1151.0,709.0,346.0
2023,8,16,신정2동,양천구,3486.0,266.0,989.0,1224.0,669.0,338.0
2023,8,18,홍제2동,서대문구,6124.0,151.0,932.0,2261.0,1803.0,977.0
2023,8,17,홍제2동,서대문구,6028.0,174.0,946.0,2267.0,1746.0,895.0
2023,8,18,역촌동,은평구,15952.0,1323.0,3952.0,5445.0,3653.0,1579.0
2023,8,17,역촌동,은평구,15712.0,1320.0,4107.0,5303.0,3582.0,1400.0
2023,8,18,진관동,은평구,48567.0,3358.0,14694.0,17113.0,9933.0,3469.0
2023,8,17,진관동,은평구,47468.0,3422.0,15084.0,16390.0,9404.0,3168.0
2023,8,18,증산동,은평구,20021.0,1547.0,6622.0,5781.0,4426.0,1645.0
2023,8,17,증산동,은평구,20036.0,1547.0,6825.0,5791.0,4351.0,1522.0
2023,8,18,신사2동,은평구,20801.0,1895.0,8137.0,6773.0,3111.0,885.0
2023,8,17,신사2동,은평구,20418.0,1850.0,8363.0,6440.0,2958.0,807.0
2023,8,18,응암2동,은평구,7341.0,672.0,2641.0,2472.0,1224.0,332.0
2023,8,17,응암2동,은평구,7272.0,710.0,2685.0,2467.0,1114.0,296.0
2023,8,18,응암1동,은평구,19723.0,1255.0,4553.0,6662.0,5229.0,2024.0
2023,8,17,응암1동,은평구,18878.0,1238.0,4613.0,6200.0,4871.0,1956.0
2023,8,18,대조동,은평구,35976.0,2010.0,9856.0,12678.0,8380.0,3052.0
2023,8,17,대조동,은평구,35134.0,2132.0,10062.0,12389.0,8008.0,2543.0
2023,8,18,구산동,은평구,10941.0,1144.0,3496.0,3871.0,1842.0,588.0
2023,8,17,구산동,은평구,10824.0,1163.0,3570.0,3913.0,1637.0,541.0
2023,8,18,갈현1동,은평구,43792.0,3529.0,15384.0,14570.0,7529.0,2780.0
2023,8,17,갈현1동,은평구,42673.0,3557.0,16040.0,13975.0,6686.0,2415.0
2023,8,18,불광1동,은평구,22091.0,1292.0,4990.0,7471.0,5595.0,2743.0
2023,8,17,불광1동,은평구,21562.0,1267.0,5183.0,7236.0,5375.0,2501.0
2023,8,18,상계9동,노원구,4363.0,237.0,1206.0,1650.0,931.0,339.0
2023,8,17,상계9동,노원구,4176.0,264.0,1099.0,1747.0,804.0,262.0
2023,8,18,상계8동,노원구,17218.0,1751.0,7215.0,5444.0,2279.0,529.0
2023,8,17,상계8동,노원구,16887.0,1868.0,7487.0,5190.0,1913.0,429.0
2023,8,18,상계5동,노원구,26463.0,2610.0,9881.0,8079.0,4372.0,1521.0
2023,8,17,상계5동,노원구,25888.0,2707.0,10070.0,7826.0,3892.0,1393.0
2023,8,18,상계2동,노원구,55403.0,2841.0,11667.0,19304.0,14249.0,7342.0
