호선명,지하철역,사용월,합,비율
1호선,동대문,1,319014.6666666667,1.0298992441834083
1호선,동대문,2,271850.0,0.8776339735621127
1호선,동대문,3,286760.3333333333,0.9257701335417667
1호선,동대문,4,308856.0,0.9971032500956405
1호선,동대문,5,338119.6666666667,1.0915773647090812
1호선,동대문,6,324070.6666666667,1.046221912457567
1호선,동대문,7,318465.6666666667,1.0281268658443037
1호선,동대문,8,285653.3333333333,0.9221963214809491
1호선,동대문,9,300431.3333333333,0.9699052597237333
1호선,동대문,10,332411.3333333333,1.0731487192584634
1호선,동대문,11,325557.0,1.051020355089059
1호선,동대문,12,305849.3333333333,0.9873966000539137
1호선,동묘앞,1,251220.0,0.9944543614642669
1호선,동묘앞,2,214335.0,0.8484450902175131
1호선,동묘앞,3,236610.66666666666,0.93662331596065
1호선,동묘앞,4,261483.66666666666,1.0350830856155369
1호선,동묘앞,5,282780.0,1.1193846203919489
1호선,동묘앞,6,262189.3333333333,1.0378764670915603
1호선,동묘앞,7,250337.0,0.9909590059942687
1호선,동묘앞,8,227704.66666666666,0.9013689152632502
1호선,동묘앞,9,251741.0,0.9965167399465648
1호선,동묘앞,10,288928.0,1.1437214781830576
1호선,동묘앞,11,265606.0,1.051401341975472
1호선,동묘앞,12,238516.0,0.9441655778959123
1호선,서울역,1,1198191.3333333333,1.0487442570860928
1호선,서울역,2,986934.3333333334,0.8638367557917226
1호선,서울역,3,968111.6666666666,0.8473617880461322
1호선,서울역,4,1068373.6666666667,0.9351183873293568
1호선,서울역,5,1196035.0,1.0468568772188012
1호선,서울역,6,1205791.3333333333,1.0553963302000593
1호선,서울역,7,1184904.0,1.037114215925175
1호선,서울역,8,1099138.0,0.9620455708340632
1호선,서울역,9,1059294.0,0.9271712022613158
1호선,서울역,10,1245714.0,1.0903395535646883
1호선,서울역,11,1306828.0,1.1438309741287602
1호선,서울역,12,1190696.3333333333,1.0421840876138324
1호선,시청,1,551423.6666666666,1.0176996803342888
1호선,시청,2,473507.0,0.8738977879731582
1호선,시청,3,490056.6666666667,0.9044416175082931
1호선,시청,4,512129.3333333333,0.945178617330194
1호선,시청,5,541004.0,0.9984692916569987
1호선,시청,6,555160.6666666666,1.0245966344102702
1호선,시청,7,557716.3333333334,1.0293133364797153
1호선,시청,8,514320.3333333333,0.9492222957836259
1호선,시청,9,508217.0,0.9379580705466963
1호선,시청,10,584930.0,1.0795384928187746
1호선,시청,11,623985.3333333334,1.1516184608204183
