호선명,지하철역,사용월,비율
1호선,동대문,1,0.9504045954052699
1호선,동대문,2,0.854271770817561
1호선,동대문,3,1.021662390125627
1호선,동대문,4,1.0259219573694793
1호선,동대문,5,1.0837405581010995
1호선,동대문,6,1.008151068761566
1호선,동대문,7,0.9943682567151058
1호선,동대문,8,0.9397548668756919
1호선,동대문,9,0.9885583561117616
1호선,동대문,10,1.0643358628791058
1호선,동대문,11,1.0125557011760138
1호선,동대문,12,1.0562746156617167
1호선,동묘앞,1,0.9222050074261257
1호선,동묘앞,2,0.8569771580652397
1호선,동묘앞,3,1.0360419035763566
1호선,동묘앞,4,1.0366927478222117
1호선,동묘앞,5,1.1056322565217303
1호선,동묘앞,6,1.0031596007177397
1호선,동묘앞,7,0.9459744042914432
1호선,동묘앞,8,0.9100573635719361
1호선,동묘앞,9,1.0063073399168083
1호선,동묘앞,10,1.1221826063595668
1호선,동묘앞,11,1.0412834271857134
1호선,동묘앞,12,1.0134861845451293
1호선,서울역,1,0.9381781040167416
1호선,서울역,2,0.8386248422267591
1호선,서울역,3,0.9400568952161436
1호선,서울역,4,0.9767957703784633
1호선,서울역,5,1.0392830053638709
1호선,서울역,6,0.9770053254135608
1호선,서울역,7,1.0120760238404696
1호선,서울역,8,1.0101868502379132
1호선,서울역,9,0.9805128825935426
1호선,서울역,10,1.100157153916319
1호선,서울역,11,1.0921946982399549
1호선,서울역,12,1.0949284485562607
1호선,시청,1,0.9329951450016256
1호선,시청,2,0.7871824873413049
1호선,시청,3,0.95222542972288
1호선,시청,4,0.98180707456028
1호선,시청,5,1.0280521659130177
1호선,시청,6,0.9586242928857323
1호선,시청,7,0.9949020574593724
1호선,시청,8,0.9873663263768704
1호선,시청,9,0.9638212055561899
1호선,시청,10,1.1551884330882107
1호선,시청,11,1.1216035176592059
1호선,시청,12,1.1362318644353087
1호선,신설동,1,0.9714676048595131
1호선,신설동,2,0.8364737615638401
1호선,신설동,3,1.0254640992998563
1호선,신설동,4,1.0257404619502264
1호선,신설동,5,1.0614314691393798
1호선,신설동,6,0.9919616459295357
1호선,신설동,7,1.0173117735703447
1호선,신설동,8,0.9618939854995273
1호선,신설동,9,0.9580815217674694
1호선,신설동,10,1.064142206833979
1호선,신설동,11,1.0459559056314662
1호선,신설동,12,1.0400755639548613
1호선,제기동,1,1.0112025010379526
1호선,제기동,2,0.8402074039058116
1호선,제기동,3,1.0034820002705676
1호선,제기동,4,1.0261373549393324
1호선,제기동,5,1.054467044424368
1호선,제기동,6,0.9973528323275174
1호선,제기동,7,0.9936284487624653
1호선,제기동,8,0.9701969621812088
1호선,제기동,9,1.0046488221765748
1호선,제기동,10,1.0696217343370245
1호선,제기동,11,1.0216589979987345
1호선,제기동,12,1.0073958976384443
1호선,종각,1,1.0138470523909224
1호선,종각,2,0.8455284567888199
1호선,종각,3,0.979538447622457
1호선,종각,4,0.9776506389729471
1호선,종각,5,1.036790227578959
1호선,종각,6,0.9588874529160877
1호선,종각,7,1.0319963259613492
1호선,종각,8,1.0084567231361767
1호선,종각,9,0.9281995996385816
1호선,종각,10,1.0610997188477862
1호선,종각,11,1.046515411772942
1호선,종각,12,1.1114899443729696
1호선,종로3가,1,0.9956100729283315
1호선,종로3가,2,0.8491414740166094
1호선,종로3가,3,0.9983145503997173
1호선,종로3가,4,0.9956043438617961
1호선,종로3가,5,1.0703536233496223
1호선,종로3가,6,0.9954976399975735
1호선,종로3가,7,1.0200173286359364
1호선,종로3가,8,0.9670324148495852
1호선,종로3가,9,0.9509129700188101
1호선,종로3가,10,1.0705036532795191
1호선,종로3가,11,1.024925706390174
1호선,종로3가,12,1.062086222272325
1호선,종로5가,1,0.9771508622916414
1호선,종로5가,2,0.8452459799145454
1호선,종로5가,3,1.019556090676218
1호선,종로5가,4,1.0183436149247043
1호선,종로5가,5,1.067728771284211
1호선,종로5가,6,0.9874014671734684
1호선,종로5가,7,0.9831283991695222
1호선,종로5가,8,0.9489627088889937
1호선,종로5가,9,0.9364119463800817
1호선,종로5가,10,1.0847155520739296
1호선,종로5가,11,1.0419319019720163
1호선,종로5가,12,1.0894227052506689
1호선,청량리(서울시립대입구),1,1.0040444748240838
1호선,청량리(서울시립대입구),2,0.8699260419155516
1호선,청량리(서울시립대입구),3,1.0278980847130699
1호선,청량리(서울시립대입구),4,1.0210694556517816
1호선,청량리(서울시립대입구),5,1.06785748192723
1호선,청량리(서울시립대입구),6,0.9933405297022303
1호선,청량리(서울시립대입구),7,0.9838194082112356
1호선,청량리(서울시립대입구),8,0.9678166379877202
1호선,청량리(서울시립대입구),9,0.9879340049033799
1호선,청량리(서울시립대입구),10,1.045844132081504
1호선,청량리(서울시립대입구),11,1.0142843747289216
1호선,청량리(서울시립대입구),12,1.0161653733532923
2호선,강남,1,1.0707523978088382
2호선,강남,2,0.8925772479066086
2호선,강남,3,0.995400670425326
2호선,강남,4,0.9868617160972477
2호선,강남,5,1.0272420159563542
2호선,강남,6,0.9733682250669511
2호선,강남,7,1.1002297273970134
2호선,강남,8,1.0289814861544762
2호선,강남,9,0.9034330849240774
