요일,연도,역명,방향,시간대,혼잡도
평일,2017,서울역,상선,05시~06시,8.7
평일,2017,시청,상선,05시~06시,7.8
평일,2017,종각,상선,05시~06시,6.3
평일,2017,종로3가,상선,05시~06시,6.3
평일,2017,종로5가,상선,05시~06시,5.8
평일,2017,동대문,상선,05시~06시,8.5
평일,2017,신설동,상선,05시~06시,7.6
평일,2017,제기동,상선,05시~06시,7.6
평일,2017,청량리,상선,05시~06시,7.2
평일,2017,동묘앞,상선,05시~06시,7.7
토요일,2017,서울역,상선,05시~06시,9.5
토요일,2017,시청,상선,05시~06시,6.7
토요일,2017,종각,상선,05시~06시,6.2
토요일,2017,종로3가,상선,05시~06시,6.1
토요일,2017,종로5가,상선,05시~06시,5.9
토요일,2017,동대문,상선,05시~06시,8.5
토요일,2017,신설동,상선,05시~06시,7
토요일,2017,제기동,상선,05시~06시,7.1
토요일,2017,청량리,상선,05시~06시,6.6
토요일,2017,동묘앞,상선,05시~06시,7.2
일요일,2017,서울역,상선,05시~06시,4.2
일요일,2017,시청,상선,05시~06시,3.1
일요일,2017,종각,상선,05시~06시,3.2
일요일,2017,종로3가,상선,05시~06시,3.4
일요일,2017,종로5가,상선,05시~06시,3.4
일요일,2017,동대문,상선,05시~06시,4.8
일요일,2017,신설동,상선,05시~06시,3.9
일요일,2017,제기동,상선,05시~06시,4
일요일,2017,청량리,상선,05시~06시,4
일요일,2017,동묘앞,상선,05시~06시,3.7
평일,2019,서울역,상선,05시~06시,8.2
평일,2019,시청,상선,05시~06시,7.7
평일,2019,종각,상선,05시~06시,6.3
평일,2019,종로3가,상선,05시~06시,6.3
평일,2019,종로5가,상선,05시~06시,5.6
평일,2019,동대문,상선,05시~06시,8.5
평일,2019,신설동,상선,05시~06시,7.2
평일,2019,제기동,상선,05시~06시,6.9
평일,2019,청량리,상선,05시~06시,6.4
평일,2019,동묘앞,상선,05시~06시,6.9
토요일,2019,서울역,상선,05시~06시,8.1
토요일,2019,시청,상선,05시~06시,5.9
토요일,2019,종각,상선,05시~06시,5.5
토요일,2019,종로3가,상선,05시~06시,5.4
토요일,2019,종로5가,상선,05시~06시,5.3
토요일,2019,동대문,상선,05시~06시,8.2
토요일,2019,신설동,상선,05시~06시,7.6
토요일,2019,제기동,상선,05시~06시,7.6
토요일,2019,청량리,상선,05시~06시,6.9
토요일,2019,동묘앞,상선,05시~06시,7.7
일요일,2019,서울역,상선,05시~06시,3.4
일요일,2019,시청,상선,05시~06시,3.2
일요일,2019,종각,상선,05시~06시,3.3
일요일,2019,종로3가,상선,05시~06시,3.1
일요일,2019,종로5가,상선,05시~06시,3
일요일,2019,동대문,상선,05시~06시,4.4
일요일,2019,신설동,상선,05시~06시,4
일요일,2019,제기동,상선,05시~06시,4
일요일,2019,청량리,상선,05시~06시,3.8
일요일,2019,동묘앞,상선,05시~06시,4
평일,2021,서울역,상선,05시~06시,6.2
평일,2021,시청,상선,05시~06시,5.4
평일,2021,종각,상선,05시~06시,5.2
평일,2021,종로3가,상선,05시~06시,4.8
평일,2021,종로5가,상선,05시~06시,4.3
평일,2021,동대문,상선,05시~06시,5.9
평일,2021,신설동,상선,05시~06시,5.3
평일,2021,제기동,상선,05시~06시,5.9
평일,2021,청량리,상선,05시~06시,5.1
평일,2021,동묘앞,상선,05시~06시,5.1
토요일,2021,서울역,상선,05시~06시,6.8
토요일,2021,시청,상선,05시~06시,8.4
토요일,2021,종각,상선,05시~06시,8.2
토요일,2021,종로3가,상선,05시~06시,5.4
토요일,2021,종로5가,상선,05시~06시,5.3
토요일,2021,동대문,상선,05시~06시,7.2
토요일,2021,신설동,상선,05시~06시,7.8
토요일,2021,제기동,상선,05시~06시,8
토요일,2021,청량리,상선,05시~06시,6.8
토요일,2021,동묘앞,상선,05시~06시,7.7
일요일,2021,서울역,상선,05시~06시,2.4
