노선번호,노선명
0017,0017번(청암동~이촌동)
01,01번(예장주차장~예장주차장)
0411,0411번(용산차고지~AT센터)
100,100번(하계동~용산구청)
101,101번(화계사~동대문)
1014,1014번(정릉~신당동)
1017,1017번(월계동~상왕십리)
102,102번(상계동~동대문)
1020,1020번(정릉~교보문고)
103,103번(삼화상운~서울역)
104,104번(강북청소년수련관난나~숭례문)
105,105번(상계동~서울역)
106,106번(의정부~동대문)
107,107번(민락동차고지~동대문)
109,109번(우이동~서울역)
110A,"110번(A,고려대방향,정릉~정릉)"
110B,"110번(B,국민대방향,정릉~정릉)"
111,111번(민락동차고지~동대문)
1111,1111번(번동~성북동)
1113,1113번(정릉~월곡역)
1114,1114번(정릉~길음역)
1115,"1115번(수유중학교,혜화여고~미아삼거리역)"
1116,1116번(국민대학교~미아삼거리역)
1119,1119번(강북청소년수련관난나~녹천역)
1120,1120번(하계동~삼양동입구)
1122,1122번(상진운수차고지~원자력병원)
1124,1124번(수유역~미아삼거리역)
1126,1126번(강북청소년수련관난나~안방학동)
1127,1127번(도봉동~도봉동)
1128,1128번(도봉산~KT월곡지사)
1129,1129번(상계현대2차아파트~창동역동측)
1130,1130번(청백아파트1단지~석계역1번출구.B)
1131,1131번(중계본동~석계역)
1132,1132번(월계동~노원역)
1133,1133번(염광고교(수유)~염광고교(석계))
1135,1135번(석계역~중계역)
1136,1136번(월계동E마트~원자력병원)
1137,1137번(상계동~미아사거리)
1138,1138번(상계동~수유역)
1139,1139번(상계동~방학3동주민센터)
1140,1140번(중계동~광운대)
1141,1141번(중계본동~석계역)
1142,1142번(중계본동~창동역)
1143,1143번(수락리버시티~봉화산역)
1144,1144번(하계동~우이동)
1154,1154번(하계동~장암동)
1155,1155번(남양주청학리~석계역)
1162,1162번(성북구민회관~보문역)
1164,1164번(서경대~길음역)
1165,1165번(화계사~미아삼거리역)
1167,1167번(우이동~은행사거리)
120,120번(우이동~청량리)
121,121번(화계사~서울숲)
1213,1213번(국민대~면목동)
1218,1218번(수유역~답십리)
1221,1221번(중계동~서울의료원)
1222,1222번(월계동~용두동)
1224,1224번(상계동~청량리)
1226,1226번(월곡중학교~경동시장)
1227,1227번(하계동~제기동)
130,130번(우이동~길동)
140,140번(도봉산역~AT센터)
141,141번(도봉산~염곡동)
142,142번(도봉동~고속터미널)
143,143번(정릉~개포동)
144,144번(우이동~교대)
145,145번(번동~강남역)
146,146번(상계주공7단지~강남역)
147,147번(월계동~도곡동)
148,148번(번동~방배동)
150,150번(도봉산~석수역)
151,151번(우이동~중앙대)
152,152번(화계사~삼막사사거리)
160,160번(도봉산~온수동)
162,162번(정릉~여의도)
163,163번(우이동~대방역)
171,171번(용마문화복지센터~월드컵파크7단지)
1711,1711번(국민대~공덕동)
172,172번(하계동~월드컵2.3단지)
173,173번(월계동~연세대)
201,201번(구리~서울역)
2012,2012번(신내공영차고지~동대문역사문화공원)
2013,2013번(면목동~신당역)
2014,2014번(성수동~동대문운동장)
2015,2015번(신내공영차고지~동대문운동장)
2016,2016번(중랑차고지~이촌2동)
202,202번(불암동~후암동)
2112,2112번(면목동~성북동)
2113,2113(중랑공영차고지~석계역)
2114,2114(중랑공영차고지~석계역)
2115,2115번(중랑공영차고지~서경대)
2211,2211번(면목동~회기역)
2212,2212번(불암동~면목동(서일대))
2221,2221번(자양동~신설동)
2222,2222번(자양동~고대앞)
2224,2224번(성수동~강변역)
2227,2227번(중랑공영차고지~광장동)
2230,2230번(면목동~경동시장)
2233,2233번(면목동~옥수동)
2236,2236번(중랑차고지~신이문역)
2311,2311번(중랑차고지~문정동)
2312,2312번(강동공영차고지~중랑공영차고지)
2312,2312번(중랑공영차고지~강동공영차고지)
240,240번(중랑공영차고지~신사역사거리)
241,241번(중랑차고지~논현역)
2412,2412번(성수동~세곡동사거리)
2413,2413번(성수동~개포동)
2415,2415번(자양동~대치동)
2416,2416번(중랑공영차고지~삼성역)
242,242번(중랑공영차고지~개포시영아파트)
260,260번(중랑차고지~여의도)
261,261번(장위동~여의도환승센터)
262,262번(중랑공영차고지~여의도)
270,270번(상암동차고지~망우리)
271,271번(용마문화복지센터~월드컵파크7단지)
272,272번(면목동~남가좌동)
273,273번(중랑차고지~동교동)
301,301번(장지공영차고지~혜화동)
3011,3011번(장지공영차고지~한남동)
302,302번(성남~동대문)
303,303번(성남~신설동)
320,320번(송파차고지~상봉터미널)
3212,3212번(강동공영차고지~강변역)
3214,3214번(마천동~강변역)
3216,3216번(오금동~경희의료원)
3217,3217번(송파차고지~어린이대공원)
3220,3220번(오금동~청량리)
3313,3313번(복정역~잠실새내역)
3314,3314번(마천동~종합운동장)
3315,3315번(마천동~송파구민회관)
3316,3316번(마천동~천호역)
3317,3317(남한산성입구~잠실새내역)
3318,3318번(강동차고지~미사강변도시~마천동)
3319,3319(장지공영차고지~잠실역)
3321,3321번(강동차고지~강동구청)
3322,3322번(송파차고지~잠실종합운동장)
3323,3323번(강동차고지~중앙보훈병원역)
