버스정류소명,버스정류소ID
종로2가사거리,1001
창경궁.서울대학교병원,1002
명륜3가.성대입구,1003
종로2가.삼일교,1004
혜화동로터리,1005
서대문역사거리,1006
광화문,1009
광화문,1010
종로1가,1011
종로1가,1012
종로2가,1013
종로2가,1014
종로3가.탑골공원,1015
종로3가.탑골공원,1016
종로4가.종묘,1017
종로4가.종묘,1018
종로5가.광장시장,1019
종로5가.광장시장,1020
종로6가.동대문종합시장,1021
종로6가.동대문종합시장,1022
동대문역.흥인지문,1023
동대문(흥인지문),1037
동묘앞,1041
동묘앞,1044
경기상고,1101
신교동,1102
경기상고,1103
경복고교,1104
청운중학교,1105
자하문고개.윤동주문학관,1106
자하문고개.윤동주문학관,1107
청운중학교,1108
경복고교,1109
통인시장종로구보건소,1110
통인시장종로구보건소,1111
효자동,1112
사직단,1113
경복궁역1번출구,1114
경복궁역,1115
경복궁역,1116
경복궁,1117
KT광화문지사,1118
광화문,1120
서울역사박물관.경교장.강북삼성병원,1123
광화문.금호아시아나본관앞,1124
광화문,1125
세종문화회관,1126
서울경찰청‧경복궁역,1127
사직단,1128
광화문광화문빌딩,1129
풍문여고.덕성여중고,1130
안국역.서울공예박물관,1131
국민은행세검정지점,1132
세검정초등학교,1133
세검정.상명대,1134
상명대입구,1135
하림각,1136
자하문터널입구.석파정,1137
부암동주민센터.무계원,1138
부암동주민센터.무계원,1139
자하문터널입구.석파정,1140
하림각,1141
상명대입구,1142
세검정.상명대,1143
세검정초등학교,1144
국민은행세검정지점,1146
승가사입구,1148
구기동현대빌라,1149
구기터널한국고전번역원,1150
구기터널앞.한국고전번역원,1151
구기동,1152
구기동,1153
승가사입구,1154
갑을씨티텔앞,1155
KEB.하나은행.평창동.지점,1156
평창동주민센터,1157
일성아파트,1158
롯데아파트,1159
롯데아파트,1160
벽산평창힐스아파트,1161
예능교회,1162
서울예술고등학교.평창동주민센터,1163
화정박물관,1164
강북삼성병원,1165
독립문역,1167
서대문.서울시교육청,1168
서대문역사거리.적십자병원,1169
독립문,1171
창덕궁.서울돈화문국악당,1172
서린동.SK서린빌딩,1173
청계1가.광교,1174
청계2가.수표교,1175
청계4가.세운교,1176
청계5가.광장시장,1177
원남동,1198
창덕궁.서울우리소리박물관,1199
안국역.인사동,1200
조계사.종로경찰서,1201
조계사.종로경찰서,1202
안국동,1203
종로5가.효제동,1204
종로5가.효제초등학교,1205
창덕궁.돈화문국악당,1209
종로5가,1212
청계6가.동대문시장,1213
동대문,1214
충신동,1215
충신동,1217
현대그룹빌딩,1218
"방송통신대,이화장",1219
혜화역.마로니에공원,1220
혜화역.서울대병원입구,1221
"방송통신대,이화장",1222
이화동(이화장),1223
창경궁,1224
이화동(이화장),1225
혜화동로타리,1226
명륜동2가.성균관대입구,1227
혜화역.서울연극센터(장면총리가옥),1228
혜화역.동성중고(장면총리가옥),1229
창신동두산아파트,1231
동묘역앞,1235
동묘역앞,1236
창신3동주민센터,1238
숭인1동주민센터.창신역4번출구,1239
종로구민회관숭인동,1240
신설동로타리,1243
동묘앞,1245
구기동현대빌라,1246
광장시장,1247
혜화경찰서,1249
서울역사박물관(경교장),1250
청계3가.관수교,1251
청계6가.버들다리,1252
청계7가.맑은내다리,1253
청계8가.영도교,1254
원남동사거리,1256
숭인동,1262
조계사,1267
세종문화회관,1272
이화동(이화장),1277
상명대정문,1278
이북오도청,1279
상명대입구,1286
상명대입구,1287
종로중부새마을금고,1288
신설동로터리.신한은행앞.서울풍물시장,1289
청계2가.삼일교,1291
청계8가.황학교,1292
평창동삼성아파트,1293
안국역.인사동,1294
안국역.서울공예박물관,1295
평창동주민센터,1500
평화동물병원,1513
오거리,1522
청련사입구,1533
언덕앞,1544
소나무집,1553
아름다운실버,1561
보현산신각,1567
혜원사,1573
화인빌라,1580
힐탑,1586
파라과이대사관,1593
청와대,1601
경복궁.국립민속박물관,1603
임마누엘제4천사의집,1607
무애사,1698
제1놀이터,1723
평창공원지킴터 입구,1732
종로1가,1763
통인시장,1793
평창동 산림제3초소,1795
명동의류,1802
감람산기도원,1809
연화정사,1816
형제봉매표소,1823
지구촌교회,1830
보현빌라,1836
북악휴게실,1842
남대문세무서.서울백병원,2001
서울백병원.평화방송.국가인권위,2002
서울역버스환승센터,2003
서울역버스환승센터,2004
서울역버스환승센터,2005
서울역버스환승센터,2006
서울역버스환승센터,2007
숭례문,2008
서울시청,2100
만리동고개,2101
손기정체육공원입구,2102
"서울의료보건고등학교,서울역서부",2103
서울역서부,2105
서울역서부,2106
종근당.충정로역,2107
"한국경제신문사,서소문역사공원",2108
"한국경제신문사,서소문역사공원",2109
경찰청.동북아역사재단,2110
서대문경찰서,2113
염천교,2116
숭례문,2117
숭례문.한국일보,2118
후암삼거리,2120
숭례문,2121
숭례문,2122
숭례문,2123
남대문시장악세사리전문상가,2124
숭례문남산방향,2125
남대문시장,2126
북창동.남대문시장,2127
시청앞,2128
삼성프라자,2131
시청앞,2132
서소문,2133
서소문,2134
시청.서소문청사,2135
서울신문사,2137
우리은행종로지점,2139
롯데백화점,2140
해운센터.롯데영프라자,2141
롯데영프라자,2142
신세계앞,2144
남대문시장.회현역,2145
남대문시장.회현역,2146
남산3호터널,2147
남산3호터널,2148
명동역4번출구,2149
퇴계로2가.명동역5번출구,2150
퇴계로3가.한옥마을.한국의집,2151
퇴계로3가.한옥마을.한국의집,2152
충무로역2번출구.대한극장앞,2153
충무로역8번출구.대한극장앞,2154
초동,2155
을지로입구.로얄호텔,2156
을지로입구.시청입구,2157
을지로2가.기업은행본점.서울노동청,2158
을지로2가.파인에비뉴,2159
을지로3가,2160
을지로3가,2161
을지로4가,2162
을지로4가.베스트웨스턴국도,2163
중구청앞.덕수중학교,2164
을지로5가,2165
을지로5가.중부시장,2166
방산시장.훈련원종합체육관,2167
을지로5가.훈련원종합체육관,2168
을지로6가.국립중앙의료원,2169
광희동,2170
광희동,2171
을지로6가.국립중앙의료원,2172
동대문역사문화공원,2173
동대문역사문화공원,2174
충무아트센터.스포츠센터.중부소방서,2177
충무아트센터.스포츠센터.중부소방서,2178
성동공업고등학교(무궁화회관),2179
성동공업고등학교앞,2180
신당역.중앙시장앞,2181
신당역.중앙시장앞,2182
성동고등학교,2183
성동고등학교,2184
신당동떡볶이타운.중구여성플라자,2187
신당동떡볶이타운.중구여성플라자,2188
신당동.청구역,2189
신당동.청구역,2190
약수역2번출구.중구구립도서관,2191
약수역3번출구.약수하이츠,2192
약수역4번출구.금호터널입구,2193
약수역5번출구.금호터널입구,2194
약수역8번출구.신당사회복지관,2195
약수역7번출구.약수동주민센터,2196
송도병원앞,2197
송도병원앞,2198
약수역1번출구,2199
장충체육관앞,2201
장충체육관앞,2202
장충동.동국대입구,2203
장충동.동국대입구,2204
퇴계로6가,2205
퇴계로6가,2206
퇴계로5가,2207
퇴계로5가,2208
국립극장,2209
국립극장,2210
청구역,2211
청구역,2212
동화동,2213
동화동,2214
백범광장,2215
남대문경찰서,2218
남대문시장.신한은행,2219
동대입구역.장충동,2222
약수역10번출구,2223
청계1가.광교,2224
청계2가.삼일교,2225
청계4가.배오개다리,2226
청계5가.방산시장,2227
청계6가.평화시장,2228
청계7가.동평화.청평화시장,2229
청계8가.영도교,2230
신한은행본점,2233
동대문역사문화공원,2235
버티고개,2236
버티고개,2237
청계3가.관수교,2240
청계6가.오간수교,2241
충무로역.매일경제,2242
을지로입구역.광교,2246
도로교통공단앞,2252
명동입구,2253
남산북측순환로입구,2254
신당동삼성아파트,2255
신당동대우푸르지오,2256
황학동주민센터,2257
신당초등학교앞,2258
금호베스트빌.래미안하이베르,2259
금호베스트빌.래미안하이베르,2260
도로교통공단후문,2261
서대문경찰서,2262
방산종합시장,2272
황학동롯데캐슬,2273
광희문.광희동사거리,2274
광희문.광희동사거리,2275
황학동롯데캐슬,2277
한국은행.신세계앞,2278
서울기동대.광희초등학교,2279
동대문디자인플라자,2280
서대문역사거리.농협중앙회,2281
서울스퀘어앞,2282
북창동.남대문시장,2283
힐튼호텔,2284
힐튼호텔,2285
시청앞.덕수궁,2286
남대문세무서.국가인권위원회,2287
앰배서더호텔.장충문화체육센터,2288
남산1호터널,2289
남산예장버스환승주차장,2291
프레스센터,2507
서울광장,2641
서울역,2685
서울역,2694
한강대교북단,3001
한강대교북단,3002
신용산역,3003
신용산역,3004
용산우체국,3005
용산우체국,3006
삼각지역,3007
삼각지역,3008
숙대입구역,3009
숙대입구역,3010
갈월동,3011
갈월동,3012
남영역,3110
남영역,3111
신용산역3번출구,3119
서울드래곤시티,3120
한강로동웨딩코리아,3122
서계동,3124
서계동,3125
청파동,3126
청파동,3127
숙대입구역.청파동주민센터,3128
숙대입구역.청파동주민센터,3129
남영역,3130
남영역,3131
용산전자상가17동,3132
용산전자상가19동,3133
용산전자상가10동,3134
용산전자상가12동,3135
용산전자상가.전자랜드,3136
용산전자상가.전자랜드,3137
원효대교북단,3138
용산경찰서,3139
용산경찰서,3140
원효로우체국,3141
용산e편한세상,3142
남정초등학교,3143
원효로2가,3144
원효로2가사거리,3145
원효로3가,3146
원효로3가,3147
용암초등학교입구.이태원주공아파트,3148
이태원동남산대림아파트.용산동아파트,3149
용산한신아파트,3150
해방촌,3151
국군재정관리단,3152
용산구청,3153
용산구청,3154
한강중학교,3155
한강중학교앞,3156
서빙고역1번출구,3157
장충단로입구,3158
남산예술원,3159
서울중부기술교육원.블루스퀘어,3160
서울시중부기술교육원.블루스퀘어,3161
