STATN_NM,호선이름
가락시장,"3호선, 8호선"
가산디지털단지,"1호선, 7호선"
강남,"2호선, 신분당선"
강남구청,"7호선, 수인분당선"
건대입구,"2호선, 7호선"
고속터미널,"3호선, 7호선, 9호선"
고잔,"4호선, 수인분당선"
공덕,"5호선, 6호선, 경의중앙선(1호선), 공항철도"
광운대,"1호선, 경춘선(1호선)"
교대,"2호선, 3호선"
군자(능동),"5호선, 7호선"
금정,"1호선, 4호선"
김포공항,"5호선, 9호선, 공항철도, 서해선"
까치산,"2호선, 5호선"
노량진,"1호선, 9호선"
노원,"4호선, 7호선"
논현,"7호선, 신분당선"
능곡,"경의중앙선(1호선), 서해선"
당산,"2호선, 9호선"
대곡,"3호선, 경의중앙선(1호선), 서해선"
대림,"2호선, 7호선"
도곡,"3호선, 수인분당선"
도봉산,"1호선, 7호선"
동대문,"1호선, 4호선"
동대문역사문화공원,"2호선, 4호선, 5호선"
동묘앞,"1호선, 6호선"
동작,"4호선, 9호선"
디지털미디어시티,"6호선, 경의중앙선(1호선), 공항철도"
마곡나루,"9호선, 공항철도"
망우,"경의중앙선(1호선), 경춘선(1호선)"
모란,"8호선, 수인분당선"
미금,"수인분당선, 신분당선"
보문,"6호선, 우이신설선"
복정,"8호선, 수인분당선"
부천종합운동장,"7호선, 서해선"
불광,"3호선, 6호선"
사당,"2호선, 4호선"
삼각지,"4호선, 6호선"
상봉,"7호선, 경의중앙선(1호선), 경춘선(1호선)"
서울,"1호선, 4호선, 경의중앙선(1호선), 공항철도"
석계,"1호선, 6호선"
석촌,"8호선, 9호선"
선릉,"2호선, 수인분당선"
선정릉,"9호선, 수인분당선"
성신여대입구,"4호선, 우이신설선"
소사,"1호선, 서해선"
수서,"3호선, 수인분당선"
수원,"1호선, 수인분당선"
시청,"1호선, 2호선"
신길,"1호선, 5호선"
신길온천,"4호선, 수인분당선"
신내,"6호선, 경춘선(1호선)"
신논현,"9호선, 신분당선"
신당,"2호선, 6호선"
신도림,"1호선, 2호선"
신사,"3호선, 신분당선"
신설동,"1호선, 2호선, 우이신설선"
안산,"4호선, 수인분당선"
약수,"3호선, 6호선"
양재,"3호선, 신분당선"
양평,"5호선, 경의중앙선(1호선)"
여의도,"5호선, 9호선"
연신내,"3호선, 6호선"
영등포구청,"2호선, 5호선"
오금,"3호선, 5호선"
오이도,"4호선, 수인분당선"
옥수,"3호선, 경의중앙선(1호선)"
온수,"1호선, 7호선"
왕십리,"2호선, 5호선, 경의중앙선(1호선), 수인분당선"
용산,"1호선, 경의중앙선(1호선)"
을지로3가,"2호선, 3호선"
을지로4가,"2호선, 5호선"
이매,"수인분당선, 경강선"
이촌,"4호선, 경의중앙선(1호선)"
인천,"1호선, 수인분당선"
잠실,"2호선, 8호선"
정왕,"4호선, 수인분당선"
정자,"수인분당선, 신분당선"
종로3가,"1호선, 3호선, 5호선"
종합운동장,"2호선, 9호선"
중랑,"경의중앙선(1호선), 경춘선(1호선)"
중앙,"4호선, 수인분당선"
창동,"1호선, 4호선"
천호(풍납토성),"5호선, 8호선"
청구,"5호선, 6호선"
청량리,"1호선, 경의중앙선(1호선), 경춘선(1호선), 수인분당선"
초지,"4호선, 수인분당선, 서해선"
총신대입구(이수),"4호선, 7호선"
충무로,"3호선, 4호선"
충정로,"2호선, 5호선"
태릉입구,"6호선, 7호선"
판교,"신분당선, 경강선"
한대앞,"4호선, 수인분당선"
합정,"2호선, 6호선"
홍대입구,"2호선, 경의중앙선(1호선), 공항철도"
회기,"1호선, 경의중앙선(1호선), 경춘선(1호선)"
효창공원앞,"6호선, 경의중앙선(1호선)"
