구분1,맑은 날,강우,강설
서울," 3,493,041 "," 3,376,563 "," 2,956,729 "
부산," 827,043 "," 761,675 "," 628,552 "
대구," 398,102 "," 374,781 "," 354,555 "
인천," 582,456 "," 549,433 "," 497,790 "
광주," 164,801 "," 153,363 "," 165,855 "
대전," 192,403 "," 177,120 "," 190,589 "
울산," 103,108 "," 99,450 "," 76,561 "
세종," 26,623 "," 25,122 "," 24,249 "
경기," 2,339,021 "," 2,234,957 "," 2,006,961 "
강원," 66,742 "," 47,988 "," 47,599 "
충북," 76,629 "," 72,257 "," 58,740 "
충남," 121,206 "," 114,189 "," 95,328 "
전북," 87,534 "," 78,762 "," 70,382 "
전남," 102,009 "," 89,609 "," 81,597 "
경북," 103,193 "," 97,891 "," 95,111 "
경남," 240,703 "," 235,082 "," 206,873 "
제주," 78,443 "," 65,258 "," 66,518 "
